Sno,Title,Bed,Bath,Price,Parking,Central Heating,Washing Machine,Dryer,Dishwasher,Internet,Garden / Patio / Balcony,Microwave,Gym,Pets Allowed
1,"Newmarket Yards, Dublin City Centre, Dublin 8",1 Bed,1 Bath,"€2,192 per month",0,1,1,1,1,1,1,1,1,1
2,"Niche Living, Serviced Studio Apartments,  Eblana Avenue, Dun Laoghaire, Co. Dublin",N/A,N/A,"€1,990 per month",0,1,1,1,1,1,1,1,1,0
3,"Aspen Student Life , North Quarter , Northside , Ballymun, Dublin 9",1 Bed,1 Bath,€250 per week,0,1,0,0,0,1,1,1,1,0
4,"Cathedral Court, Unit 6 New Street South, Dublin 8",1 Bed,1 Bath,"€2,500 per month",1,0,1,1,1,1,1,1,1,1
5,"Quayside Quarter, Dublin Landings, North Wall Quay, Dublin 1",1 Bed,1 Bath,"€2,515 per month",1,1,1,1,1,1,1,1,1,1
6,"Marshall Yards, East Road, Dublin 3",1 Bed,1 Bath,"€2,350 per month",1,1,1,1,1,1,1,1,1,1
7,"Newtown Gardens , Newtownpark Avenue , Blackrock, Co. Dublin",2 Bed,2 Bath,"€2,650 per month",1,1,1,1,1,1,1,1,0,1
8,"Grand Canal Harbour, Grand Canal Place, Dublin 8",1 Bed,1 Bath,"€2,095 per month",1,1,1,1,1,1,1,1,1,1
9,"Eglinton Place , Eglinton Road, Dublin 4",1 Bed,1 Bath,"€2,650 per month",1,1,1,1,1,1,1,1,1,0
10,"Claremont, Howth Road, Howth, Dublin 13",1 Bed,1 Bath,"€2,150 per month",1,1,1,1,1,1,1,1,1,1
11,"Alta Verde, Cross Avenue, Blackrock, Co. Dublin",1 Bed,1 Bath,"€2,195 per month",1,1,1,1,1,1,1,1,1,1
12,"Point Campus, Dublin , Dublin 1",N/A,N/A,From €350 per week,0,0,0,0,0,1,1,1,1,0
13,"Rockpoint, Newtown Avenue, Blackrock, Co. Dublin",1 Bed,1 Bath,"€2,400 per month",1,0,1,1,1,0,1,1,0,0
14,"Brickfield Square , Brickfield Drive, Dublin 12",1 Bed,1 Bath,"€2,250 per month",1,0,1,1,1,1,1,1,1,1
15,"O'Callaghan Court , Erne Street Upper , Dublin 2",1 Bed,1 Bath,"€2,475 per month",1,0,1,1,1,1,1,1,1,1
16,"Griffith Wood, Griffith Avenue, Drumcondra, Dublin 9",1 Bed,1 Bath,"€2,100 per month",1,1,1,1,1,1,1,1,1,1
17,"Occu Owenmore, Station Road, Raheny, Dublin 5",1 Bed,1 Bath,"€2,175 per month",1,1,1,1,1,0,1,1,0,1
