1,"Cathedral Court, Unit 6 New Street South, Dublin 8",1 Bed,1 Bath,"€2,500 per month"
2,"Quayside Quarter, Dublin Landings, North Wall Quay, Dublin 1",1 Bed,1 Bath,"€2,515 per month"
3,"Marshall Yards, East Road, Dublin 3",1 Bed,1 Bath,"€2,350 per month"
4,"Newtown Gardens , Newtownpark Avenue , Blackrock, Co. Dublin",2 Bed,2 Bath,"€2,650 per month"
5,"Grand Canal Harbour, Grand Canal Place, Dublin 8",1 Bed,1 Bath,"€2,095 per month"
6,"Eglinton Place , Eglinton Road, Dublin 4",1 Bed,1 Bath,"€2,650 per month"
7,"Claremont, Howth Road, Howth, Dublin 13",1 Bed,1 Bath,"€2,150 per month"
8,"Alta Verde, Cross Avenue, Blackrock, Co. Dublin",1 Bed,1 Bath,"€2,195 per month"
9,"Point Campus, Dublin , Dublin 1",N/A,N/A,From €350 per week
10,"Rockpoint, Newtown Avenue, Blackrock, Co. Dublin",1 Bed,1 Bath,"€2,400 per month"
11,"Brickfield Square , Brickfield Drive, Dublin 12",1 Bed,1 Bath,"€2,250 per month"
12,"O'Callaghan Court , Erne Street Upper , Dublin 2",1 Bed,1 Bath,"€2,475 per month"
13,"Griffith Wood, Griffith Avenue, Drumcondra, Dublin 9",1 Bed,1 Bath,"€2,100 per month"
14,"Occu Owenmore, Station Road, Raheny, Dublin 5",1 Bed,1 Bath,"€2,175 per month"
15,"Niche Living, Serviced Studio Apartments, Ardee Road, Rathmines, Dublin 6",N/A,N/A,"€1,990 per month"
16,"O'Neill Court , Main Street, Belmayne, Dublin 13",1 Bed,1 Bath,"€1,950 per month"
17,"Occu Hayfield, Churchview Road, Killiney, Co. Dublin",1 Bed,1 Bath,"€2,000 per month"
18,"Newmarket Yards, Dublin City Centre, Dublin 8",1 Bed,1 Bath,"€2,192 per month"
19,"Niche Living, Serviced Studio Apartments,  Eblana Avenue, Dun Laoghaire, Co. Dublin",N/A,N/A,"€1,990 per month"
20,"Aspen Student Life , North Quarter , Northside , Ballymun, Dublin 9",1 Bed,1 Bath,€250 per week
21,"Easra Court , Collins Avenue, Killester, Dublin 5",1 Bed,1 Bath,"€2,075 per month"
22,"East Wharf, East Wall Road, Dublin 3",1 Bed,1 Bath,"€2,195 per month"
23,"DX Living , Donnybrook Road, Dublin 4",N/A,N/A,"€1,850 per month"
24,"Capital Dock Residence, No. 2 Stevens Walk, Dublin 2",2 Bed,2 Bath,"€3,369 per month"
25,"Castle View, Muirfield Drive, Dublin 12, Bluebell, Dublin 12",2 Bed,2 Bath,"€2,525 per month"
26,"One Lime Street, Docklands, Dublin 2",1 Bed,1 Bath,"€2,440 per month"
27,"Spencer Place, Spencer Place, Dublin 1",1 Bed,1 Bath,"€2,360 per month"
28,"Oatlands Manor, Cherrygarth, Mount Merrion, Co. Dublin",3 Bed,2 Bath,"€4,072 per month"
29,"Mayor Square, Mayor Street Lower, IFSC, Dublin 1, Dublin 1",N/A,N/A,From €250 per week
30,"Liberties House, The Liberties, Dublin 8",N/A,N/A,"€1,990 per month"
31,"Node D2 - Fitzwilliam Square, 25 Pembroke Street Upper, Dublin 2",2 Bed,2 Bath,"€4,002 per month"
32,"Hali, Cherrywood, Dublin 18, Cherrywood, Co. Dublin",1 Bed,1 Bath,"€1,950 per month"
33,"Hali - FINAL PHASE - Talbot & Tully Buildings , Cherrywood, Dublin 18",1 Bed,1 Bath,"€1,950 per month"
34,"Node Dublin 7, Phibsborough, D07 V10E, Dublin 7",N/A,N/A,"€1,850 per month"
35,"The Lookout , Harbour Road, Dalkey, Co. Dublin",1 Bed,1 Bath,"€2,360 per month"
36,"St. Clare’s Park, Harold's Cross Road, Harold's Cross, Dublin 6",3 Bed,2 Bath,"€3,230 per month"
37,"The Locks, Charlemont Square, Dublin 2, Charlemont Street, Dublin 2",2 Bed,2 Bath,"€3,589 per month"
38,"Balroy Hall, Carpenterstown Road, Castleknock, Dublin 15",1 Bed,1 Bath,"€2,000 per month"
39,"Station View , The Crossings , Adamstown, Co. Dublin",1 Bed,1 Bath,"€1,895 per month"
40,"Seafield Strand, Greenfield Road, Sutton, Dublin 13",1 Bed,1 Bath,"€2,199 per month"
41,"Archway Court Student Accommodation, Mountjoy St, Dublin 1",N/A,N/A,From €850 per month
42,"Semple Woods, Semple Woods, Donabate, Co. Dublin",1 Bed,1 Bath,"€1,327 per month"
